Heliostat No. 6540: x=506.177184m | y=77.196912m
Heliostat No. 6600: x=105.014275m | y=502.340252m
Heliostat No. 6660: x=-412.854975m | y=231.249899m
Heliostat No. 6720: x=-292.082533m | y=-340.670162m
Heliostat No. 6780: x=291.176661m | y=-379.235062m
Heliostat No. 6840: x=495.289049m | y=179.444846m
Heliostat No. 6900: x=17.207965m | y=519.938667m
Heliostat No. 6960: x=-449.917759m | y=164.564044m
Heliostat No. 7020: x=-249.323816m | y=-387.033305m
Heliostat No. 7080: x=336.960920m | y=-359.324582m
Heliostat No. 7140: x=496.228456m | y=209.335949m
Heliostat No. 7200: x=2.226117m | y=530.487240m
Heliostat No. 7260: x=-460.895580m | y=166.214325m
Heliostat No. 7320: x=-265.158723m | y=-389.540608m
Heliostat No. 7380: x=324.023896m | y=-383.192001m
Heliostat No. 7440: x=518.227591m | y=179.969493m
Heliostat No. 7500: x=50.145282m | y=541.388144m
Heliostat No. 7560: x=-450.837449m | y=227.157667m
Heliostat No. 7620: x=-329.228122m | y=-351.578594m
Heliostat No. 7680: x=255.857999m | y=-437.594406m
Heliostat No. 7740: x=549.243997m | y=87.866779m
Heliostat No. 7800: x=159.695936m | y=535.530121m
Heliostat No. 7860: x=-399.995301m | y=338.309742m
Heliostat No. 7920: x=-422.847398m | y=-254.672502m
Heliostat No. 7980: x=120.005612m | y=-494.382262m
Heliostat No. 8040: x=542.850869m | y=-78.026586m
Heliostat No. 8100: x=318.631327m | y=476.997394m
Heliostat No. 8160: x=-276.711151m | y=471.644580m
Heliostat No. 8220: x=-503.939336m | y=-78.654130m
Heliostat No. 8280: x=-85.814742m | y=-502.485633m
Heliostat No. 8340: x=467.513640m | y=-282.738003m
Heliostat No. 8400: x=492.508235m | y=314.717190m
Heliostat No. 8460: x=-47.287053m | y=570.228926m
Heliostat No. 8520: x=-501.851676m | y=182.883856m
Heliostat No. 8580: x=-335.227345m | y=-390.615519m
Heliostat No. 8640: x=256.126103m | y=-474.079878m
Heliostat No. 8700: x=585.901165m | y=35.530098m
Heliostat No. 8760: x=256.692726m | y=535.920229m
Heliostat No. 8820: x=-336.635511m | y=453.883151m
Heliostat No. 8880: x=-517.714733m | y=-117.062377m
Heliostat No. 8940: x=-80.122370m | y=-526.062871m
Heliostat No. 9000: x=477.304998m | y=-306.875260m
Heliostat No. 9060: x=527.664664m | y=297.969294m
Heliostat No. 9120: x=6.574064m | y=596.703144m
Heliostat No. 9180: x=-494.198733m | y=265.034738m
